year,treated,p100858,p104179,p106397,p126818,p137351,p145813,p153603,p153658,p157085,p159391,p170082,p174066,p176017,p176080,p179566,p181464,p196088,p199139,p207388,p207500,p227216,p227881,p229115,p232982,p234030
2004,-0.02318220244092667,0.046994073667887604,-0.012037334900801278,0.004413040561235371,0.01754336456987371,-0.0005086629853400804,-0.018018267603309324,0.021538044796532596,0.03473843489075351,-0.00329109586345977,0.02275374271825692,0.021934817761941616,-0.01252871332191241,0.0023130337529450595,-0.02059566984944633,0.04212098284614585,-0.043942718212414356,-0.07373295183368289,0.00018209287412174202,-0.01621753687217503,-0.01075798332876926,-0.00571299387482338,-0.0185167079749865,-0.02532371963299751,0.02079557576263158,-0.03585451618855995
2005,0.010980657854513187,-0.018690871218887073,-0.0010569826444669639,-0.008767519777267474,0.0024914959579362406,0.010239998282416951,0.04936531798807975,0.005353575853083381,0.0032417935805427733,0.004510604387577499,0.007528178550968323,-0.026788599714606287,0.0033883024116725946,-0.02033226411841088,0.01853360073662169,0.008639944153919221,0.02076852277737712,-0.019570561451020763,0.01540483144819077,-0.04360412125676272,0.018724179698476062,0.03234933646810528,-0.013751956463327164,-0.06081843907636203,-0.005639806741552955,-0.016217244183888646
2006,0.011030098385422071,-0.008885302786083793,-0.019768728285289416,0.007047317974999079,0.029630952737596084,0.0017570449212931938,0.0333155020516856,-0.011780149184432709,-0.027798999730127116,0.011067515867308364,-0.0022845020786568804,-0.01370049765910325,-0.04149259780070336,-0.01504186670412444,-0.01615642645868748,0.05995059891885557,0.023825673675048564,-0.019727725939272855,0.0036693089705712723,0.023148957879889576,0.03524721084841986,-0.011378219847760052,0.00033963114547674866,0.01839478173546022,-0.02380469311697264,-0.021909391703528347
2007,-0.013979369866813363,-0.00259995356337972,0.0020236544714549165,-0.016392446629160895,0.022996442233501058,-0.04440349876023103,0.021621469510898828,0.02662022439903844,-0.01540597329243698,0.02503018325037948,0.01708422192084358,0.01377835066117905,0.0033263576890592006,-0.018126060291018486,0.005035160115411885,-0.015291057805429109,-0.03592723816182575,0.06516361438210994,-0.012667180795487454,0.006022130975132101,0.012946363681849427,-0.05952668895866381,0.007595867156454439,-0.04287983389935268,0.0335388103480837,-0.0252188752807333
2008,0.007171044044477548,-0.01101905157935934,-0.025780285896797595,-0.00365332888269998,0.0346281418407165,-0.026240956976330998,-0.04187163643253883,-0.0003353345451732048,-0.007683973379073228,-0.010337623393070261,-0.014063469819827201,0.01828837625787494,-0.0077735798166732595,0.013670216547475578,-0.007400997506686324,0.05549400996500792,0.007632902939496977,0.05063690065926718,0.017555535622518437,0.0066794611114346925,-0.009339822408670817,-0.018486816249881854,-0.03614886400677386,0.04217345882988588,0.04815737539640663,0.004466131294214137
2009,0.0019299274048316661,0.0065967953858464545,-0.013034275609236201,-0.008629063265619463,0.02417849750519696,0.03504535984420465,0.031895692501381134,-0.0044457150225094555,-0.001402629783807563,-0.017568895345640212,-0.015548954447115015,-0.03490794832247879,0.0126500126334807,-0.031869980234441986,-0.03115274956840025,-0.03327479691978741,-0.03052291983162636,0.05908434026647735,-0.0006517643898724668,-0.006899325688607683,0.003806663572239466,0.0010531455540407353,0.023181882921431085,0.08538114558065546,-0.0075922036980411445,-0.0031577029289210357
2010,0.003097060009184971,-0.02322562319253879,0.01537497185807124,-0.0060304579962099925,-0.023695526197380024,0.0022105209800081793,-0.03210010514694184,0.0008684459777413833,0.049125956006530025,0.0038571368089334035,0.019310397333543783,0.03853768137695435,-0.029811386004597595,0.007147915809231131,-0.005446641294472976,-0.006506304948922903,-0.02330571093581979,0.06915815183326501,0.008071536419173242,-0.012611255349639305,-0.009149701655371878,8.583571576514792e-06,0.006224629115413827,-0.031074412329625156,-0.06609276693109711,0.013472098698600443
2011,-0.005311981572010738,-0.007563004445810428,0.013528363259495246,0.0008805168071587821,-0.012452439396120507,0.041657803208923205,-0.03719592266403621,-0.010721236242643872,-0.01923469890130397,0.004688983545579284,0.0071715043483241425,0.008289936518248497,0.011296092059195184,0.003708112090400728,-0.026210711428831468,-0.05785366343286674,0.04848826665111694,0.031758329899627236,0.0007319918933729186,0.012012513159622651,0.014844726012166576,-0.008595404805870843,-0.013671854768646019,-0.022567433025052264,0.07703991170061664,0.017695638961427673
2012,0.03666816722091626,0.032030937293668904,-0.0072630529846762215,0.09264507894847729,0.044344399227508435,0.026612566164866625,-0.040241382752192245,-0.08851794473871771,0.08279961162178673,-0.11073353216180365,0.05363905051075846,0.10613229858457346,0.09881305855966066,-0.03960611035397399,-0.05380216129737486,0.02654368495679693,0.018978624498205532,0.04449416895589631,0.033144289524710546,-0.1279064469656277,-0.007881974708948358,-0.02539788209974686,-0.0043316168508144015,-0.02973002459244145,-0.10701650824678777,0.03569695292217323
2013,0.037748527075964655,0.12906054136433381,-0.2154825571562466,-0.4353028712014844,0.04612560361093698,0.07051038226729778,0.038982205670844094,-0.06681017931576572,-0.027331700612600596,0.5495646948494342,-0.0037359936019581985,-0.00801481593760589,0.09228824535715552,-0.028151292593779798,-0.07559652131125327,-0.18200575676148018,-0.2433479029143285,0.02999412577807925,0.04020199010582004,0.05414844136310504,-0.016266466806789226,-0.06956627560220474,0.024457155104145367,0.011271362571231847,-0.07801638985719683,0.05088950601748865
2014,0.11420839322217252,0.08362301888972551,0.01347595302465332,0.07449650918834855,0.030738975174736005,0.15779777849020737,0.08069913028215964,-0.06914200096763135,0.09936372523097459,-0.10808006193182151,-0.046912465822830596,0.09298729198321964,0.07141539498366278,-0.007049839681345149,-0.08965661100790961,-0.0626655315145721,-0.09685208378526006,0.04405539615627707,0.03534509301739053,-0.14132753719818647,-0.08989252766204225,-0.013214187450434567,-0.07045998786198632,-0.05153169805723823,-0.030089590683198164,0.12139904463866913
2015,0.05632593214794124,0.20884226007739215,-0.1324740750219211,-0.029752914533203834,0.1000034175394563,0.14323537883172788,0.030964560573304545,-0.0802988413793676,0.022940129011294275,0.02896028391431671,-0.03991016051836915,-0.03854950417211267,0.20669805012735365,-0.143254565052505,-0.1405236456286722,-0.09741729010684741,-0.06341997461975202,0.17497931464013816,0.026827122716652663,-0.06222236377316692,-0.16043110102237357,-0.07282578929551103,0.02261291172658164,-0.02078869327147881,-0.07238483856363298,0.11029335321956912
2016,0.06061420118291372,0.1750335807331836,0.015151826874937047,-0.0524830074331159,0.07898993309119762,0.1718003895385738,0.04150335258479482,-0.05471169293017886,0.04311566103855746,0.037250026899688315,-0.07068267439991804,0.013569822968971301,0.2759790029405954,-0.1854371874264274,-0.15074590708734714,0.0853588014039744,-0.04040444593177506,0.018388594889879206,0.026100599399949242,-0.19721938396546895,-0.06496912947577904,-0.04569262995832013,-0.08158610864770915,0.011241804743791994,-0.06913913171300412,0.09503718803925765
2017,0.0938619421586736,0.15356294760615546,0.03146414239348844,-0.0016332479185914295,-0.0026134513908186996,0.20365047873232456,0.034439211307676854,-0.004225598321957236,0.052291775191391165,0.014767595548736023,-0.10205193130543244,-0.09460841286966398,0.29044809577012914,-0.1483397427889282,-0.14492851950662433,-0.10120172780532083,-0.17871432401858367,0.19205047161225008,-0.01558355434750125,-0.0677428381084978,-0.0976938966002181,-0.09270516288910141,-0.06687091826356201,-0.04626656080977376,-0.06569973252226935,0.07256815761034163
2018,0.0978764069197906,0.18316594465959535,-0.12641246582676235,-0.39702818179522803,0.06939967995063678,0.2142038189753125,0.03727048112848785,-0.09816693907031726,0.03308229009993857,0.5159414154366836,-0.12375137729977614,-0.05509125102193524,0.26107727168369843,-0.17565577506661006,-0.15596698099146344,0.011197621185938755,-0.36619252090293514,0.023598180362726873,0.09541451070488083,-0.15448196024117578,-0.014359816480307264,-0.039528987236398416,-0.06410264005283856,-0.0546550645177154,-0.03939407525977967,0.1368220201264002
2019,0.08291052644845609,0.2104288803060005,-0.0918449724455434,0.04790892999132679,0.11862681464910985,0.20752960021911626,-0.07096692951686862,-0.13287110824621629,0.0028712618388299083,-0.056229658683110806,-0.08186023817362231,-0.08879025520816136,0.27480240397374,-0.1724332584975113,-0.1525099604027605,-0.07151096533551754,-0.276597933151512,0.09114338293885726,0.12822966627715704,-0.06772491813902132,-0.08532648768457873,-0.05452944761552281,0.06424629878643018,-0.0007013452083652894,-0.06138764428139509,0.14623922419064883
2020,0.07043113897033715,0.17979802731739059,0.008256628382909748,0.049450678365892564,0.0814697491686246,0.15669582281219607,-0.038099546594618006,-0.08668535669232558,0.010215497478558433,-0.06142527187907809,-0.0777822543044624,-0.013749662046002364,0.19728619434355643,-0.1157906627239782,-0.15631299548264893,0.023324874045695942,-0.18556476878850842,-0.025305679202549114,0.08345330839157417,-0.10244584187153954,0.04212224099211381,0.0007133086161985602,-0.05758065376109622,0.002499568473535496,-0.08569421532356936,0.06495581364753056
