vendor,dimension,options,evidence_passage,source_docs,code
Proctorio,noface_flag,automatic_flag | proctor_alert | not_documented,"""Face detection is used to detect the presence of one or more human faces or if the test-taker has left the exam for any reason."" [proctorio_faq]",proctorio_faq,automatic_flag
Proctorio,id_gate,blocks_entry | flag_proceed | human_fallback | not_documented,"""If they have enabled Live Verify ID then a Proctorio live proctor will compare your image to the image on your ID card at the beginning of the exam in real time. Once your identity is validated you will be allowed to enter the exam."" [proctorio_faq]",proctorio_faq,blocks_entry
Proctorio,consequence_path,suspicion_score | vendor_review | instructor_review | not_documented,"""Proctorio's software does not perform any type of algorithmic decision making, such as determining if a breach of exam integrity has occurred. All decisions regarding exam integrity are left up to the exam administrator or institution."" [proctorio_faq]",proctorio_faq,instructor_review
Proctorio,human_review,yes_documented | not_documented,"""All decisions regarding exam integrity are left up to the exam administrator or institution."" [proctorio_faq]",proctorio_faq,yes_documented
Proctorio,lighting_burden,yes | no,,proctorio_faq,no
Proctorio,bias_acknowledgment,acknowledged | deflected | silent,"""Unlike some competitors, Proctorio only uses face detection and gaze detection which cannot uniquely identify an individual's face."" / ""No. Proctorio does not use biometric analysis like facial recognition, keystroke fingerprinting, voice recognition, etc."" [proctorio_faq]",proctorio_faq,deflected
Respondus,noface_flag,automatic_flag | proctor_alert | not_documented,"""During an online exam, Respondus Monitor will warn students when their face cannot be detected by the webcam."" / ""This reduces the likelihood of students being flagged"" [respondus_enhancedflagging]",respondus_monitor|respondus_enhancedflagging|respondus_studentexperience,automatic_flag
Respondus,id_gate,blocks_entry | flag_proceed | human_fallback | not_documented,,respondus_monitor|respondus_enhancedflagging|respondus_studentexperience,not_documented
Respondus,consequence_path,suspicion_score | vendor_review | instructor_review | not_documented,"""Respondus Monitor is a fully automated proctoring solution. Students use a webcam to record themselves during an online exam. Afterward, flagged events and proctoring results are available to the instructor for further review."" [respondus_monitor]",respondus_monitor|respondus_enhancedflagging|respondus_studentexperience,instructor_review
Respondus,human_review,yes_documented | not_documented,"""flagged events and proctoring results are available to the instructor for further review"" [respondus_monitor]",respondus_monitor|respondus_enhancedflagging|respondus_studentexperience,yes_documented
Respondus,lighting_burden,yes | no,"""Respondus Monitor will now detect a very darkly lit environment (or a glaringly bright one) and prompt the student to make a correction. This reduces the chance of a student being flagged"" [respondus_enhancedflagging]",respondus_monitor|respondus_enhancedflagging|respondus_studentexperience,yes
Respondus,bias_acknowledgment,acknowledged | deflected | silent,,respondus_monitor|respondus_enhancedflagging|respondus_studentexperience,acknowledged
Honorlock,noface_flag,automatic_flag | proctor_alert | not_documented,"""If no face is detected, or if multiple faces are detected, AI will flag the incident, and a human proctor may intervene."" [honorlock_faq]",honorlock_faq|honorlock_idverification|honorlock_privacy,automatic_flag
Honorlock,id_gate,blocks_entry | flag_proceed | human_fallback | not_documented,"""In the case that your identity will be manually verified by a proctor, we will request a photo of you before an exam."" [honorlock_idverification]",honorlock_faq|honorlock_idverification|honorlock_privacy,human_fallback
Honorlock,consequence_path,suspicion_score | vendor_review | instructor_review | not_documented,"""After our human proctors review the sessions, they will provide you with detailed reports that are easy to understand. These reports will highlight any incidents ... you can review the incidents yourself and decide if any further action is necessary."" [honorlock_faq]",honorlock_faq|honorlock_idverification|honorlock_privacy,vendor_review
Honorlock,human_review,yes_documented | not_documented,"""After our human proctors review the sessions, they will provide you with detailed reports"" [honorlock_faq]",honorlock_faq|honorlock_idverification|honorlock_privacy,yes_documented
Honorlock,lighting_burden,yes | no,,honorlock_faq|honorlock_idverification|honorlock_privacy,no
Honorlock,bias_acknowledgment,acknowledged | deflected | silent,"""No. Honorlock uses facial detection, which only detects that there is a clear human face in the webcam. We do not identify the face, store any of the facial elements, or match the face to a database."" [honorlock_faq]",honorlock_faq|honorlock_idverification|honorlock_privacy,deflected
ProctorU (Meazure Learning),noface_flag,automatic_flag | proctor_alert | not_documented,"(archived pages document generic flagging only: ""the platform detects and flags patterns of suspicious activity"" [proctoru_recordplus]; no face-specific automatic event named)",proctoru_troubleshooting|meazure_proctoringfaq|proctoru_recordplus,not_documented
ProctorU (Meazure Learning),id_gate,blocks_entry | flag_proceed | human_fallback | not_documented,"""Photos & Authentication: You'll take a photo of yourself as well as your I.D. for identity verification purposes."" / ""Your proctor will greet you and confirm that you passed your identity verification steps."" [meazure_proctoringfaq]",proctoru_troubleshooting|meazure_proctoringfaq|proctoru_recordplus,blocks_entry
ProctorU (Meazure Learning),consequence_path,suspicion_score | vendor_review | instructor_review | not_documented,"""During a Record+ session, the platform detects and flags patterns of suspicious activity, but an incident report is not created unless a certified proctor reviews the situation and confirms that the activity is not allowed in your exam rules."" [proctoru_recordplus]",proctoru_troubleshooting|meazure_proctoringfaq|proctoru_recordplus,vendor_review
ProctorU (Meazure Learning),human_review,yes_documented | not_documented,"""an incident report is not created unless a certified proctor reviews the situation and confirms"" [proctoru_recordplus]",proctoru_troubleshooting|meazure_proctoringfaq|proctoru_recordplus,yes_documented
ProctorU (Meazure Learning),lighting_burden,yes | no,,proctoru_troubleshooting|meazure_proctoringfaq|proctoru_recordplus,no
ProctorU (Meazure Learning),bias_acknowledgment,acknowledged | deflected | silent,,proctoru_troubleshooting|meazure_proctoringfaq|proctoru_recordplus,silent
ExamSoft,noface_flag,automatic_flag | proctor_alert | not_documented,"""Applicant Missing: The exam-taker was not detected within the webcam frame. The exam-taker might be missing, or the exam-taker's face might be partly covered."" [examsoft_reviewresults]",examsoft_examid|examsoft_baselinephoto|examsoft_reviewresults|examsoft_prepare,automatic_flag
ExamSoft,id_gate,blocks_entry | flag_proceed | human_fallback | not_documented,"""Pending Verification: Select this filter to show only exam-takers whose photo has not yet been validated. Exam-takers are allowed to start an exam after capturing their photo."" [examsoft_reviewresults]",examsoft_examid|examsoft_baselinephoto|examsoft_reviewresults|examsoft_prepare,flag_proceed
ExamSoft,consequence_path,suspicion_score | vendor_review | instructor_review | not_documented,"""After you post an assessment with ExamID or ExamMonitor enabled, you can monitor the overall results, review incidents, and submit dispositions."" [examsoft_reviewresults]",examsoft_examid|examsoft_baselinephoto|examsoft_reviewresults|examsoft_prepare,suspicion_score
ExamSoft,human_review,yes_documented | not_documented,"""you can monitor the overall results, review incidents, and submit dispositions"" [examsoft_reviewresults]",examsoft_examid|examsoft_baselinephoto|examsoft_reviewresults|examsoft_prepare,yes_documented
ExamSoft,lighting_burden,yes | no,"""Ensure that you're in a well-lit area and that the light on your face is brighter than the light behind you. Tips: Turn on lights to illuminate your face."" [examsoft_baselinephoto]",examsoft_examid|examsoft_baselinephoto|examsoft_reviewresults|examsoft_prepare,yes
ExamSoft,bias_acknowledgment,acknowledged | deflected | silent,,examsoft_examid|examsoft_baselinephoto|examsoft_reviewresults|examsoft_prepare,silent
